from_addr,knn_id,cluster_size,ext_in_all_hash_cnt,ext_in_all_date_cnt,all_method_cnt,all_to_addr_cnt,ext_in_all_week_cnt,ext_in_all_month_cnt,date_range,days_from_start,first_block_date,first_transaction_hash,to_addr,first_method,last_block_date,last_transaction_hash,last_to_address,last_method,total_fees,in_amount,out_amount,created_at,total_fees_round
EQC9mq68HGmG0ercVweYrPY9dXqLsFPFjB9kxExUUHMhgCTT,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,14Sy0IbCKm95WIGQ6g6CZzYuT2j9AhmRNvoxW07D5kw=,EQDyyFkq12vHnOPeY2-1PDbqbXJ5m-uqCn5rXk6pydOd7C5v,1607220500,2024-10-04,aZST6zYS9PDr/erH78l73z8ABD+hywZdDfGo/FF8FiQ=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029738257,0.400264902,0.367671689,2024-10-21 20:41:23,0.03
EQCtfShIHBgXNcBQiwGzTX32KB-KdBrEjapCLt81sKojEHyd,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,4nedNG186Mu+YzbR0U0WgsClduVQ9nxpipjClzPoop0=,EQBRlNADcSa8fyrQoFf_KSO9tYjccKQzXj4IpQKJJsYyBELT,1607220500,2024-10-04,yf5NmQPZLR/URw1H9xsOYFy7RiM9Q0V4qv8UnITWmVU=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029734836,0.700264145,0.667674353,2024-10-21 20:41:23,0.03
EQCwWOpYletdT1X4e6Hmbq_vVvhFR45OuWl5ZNQx0bghrB74,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,7N4pt+gMRBDiJBU4z+Kz9132f5Pl5QOrvwRke7TUxJE=,EQAMFhX8TmMzHsdZB8lUfsWE9hgyA75MfjknhIEQJlllEHfu,1607220500,2024-10-04,tW620fSCwK/dWe6lRoCyOvL5mQhTOHI0E/svxNZJ4KU=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029766835,0.400272613,0.367650822,2024-10-21 20:41:23,0.03
EQD-fwyho0NRDSNFIiGbDK9atTUyslQjAaiRH7qEIPAfke25,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,6c8wHkWfB1mSkUPHuFC9egdwIqEfM/3DMBGj32nXOQ0=,EQBl-pOFZCJ6YwwnZhpiSEcOM3KJLBKR5wZJ3Qs0ZMFMzRsb,1607220500,2024-10-04,fGO7VNVrOjubxuChgeOUk0h/uxQMYppmIGNGhPGsmrQ=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029739477,0.400264835,0.367670402,2024-10-21 20:41:23,0.03
EQDf7_4uVtV75qVc-Q6SXiZ0pHQgzHb1dvkLLaoE8dbYA0aV,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,Epp/yXzDhIQmG/AcwsYcaioT15hXGEVyjxCip5TLVR4=,EQCI8-dUSumFgtm3sp_41BnWnEcflJl-AunUsdemckZSFMP6,1607220500,2024-10-04,fEV6/Q9/wSxCCVqz0nU00vpOBCWggaHopZSI2WblvuM=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029737282,0.70026432,0.667672082,2024-10-21 20:41:23,0.03
EQCXgpO_8ePyzCdf5_BAqgsMVtiK9DMZrHA1TTaW7Gxv2hZg,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,fYisN9IpKKhdHYAOXsNlM78CKZl9KyU0aQpopdxwfxE=,EQDjsCq2myuifA0ZI8KqVnidhx5ct8hCjuSpcd4i3OiXn0fg,1607220500,2024-10-04,yiUaRPvrgv6cXyPl2owNR9ZgdPu1Hgl42yYFHxXK50I=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029736111,0.700264071,0.667673004,2024-10-21 20:41:23,0.03
EQDPxnlQ9qHbkpoC34pz5zPb7fVIIsXDdrusB5mbztF7rUge,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,g66B5mnf6wdVTsz3B+vT0zov746Jbnt2ggzy86CxnDM=,EQAurOOcvHkWN44-fgy6i4sqg_U9_gt8Y3lDUCLbc7_vWt0r,1607220500,2024-10-04,X+Wxvf2n14xBQjQxM0pAix6qwi8Cj+cF0wgV/FJbg28=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.02974243,0.400265636,0.36766825,2024-10-21 20:41:23,0.03
EQDj7ran4XtVjN9wl5SFCYgjk3WvJ-2RpqwtDUiMEXaiPdfV,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,Kq4QYXim/KtKehfvsxs56NBOfz/sg9qhQCWF3keP7Rg=,EQD6OMQidJ7oSntWek2e1xgy8SbZ7E4XcWVdO9Ye3Kzb7c2-,1607220500,2024-10-04,5Agqtjjjy6Ma2EDjjWynHmxIsAVX0aXheYRmSV+gX9U=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029768098,0.400272679,0.367649625,2024-10-21 20:41:23,0.03
EQD2ljmlWh66LAL_ecnOMMdoVwHGcjUXbr8RLfSJtm9zFw3k,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,RTjMDvUbQBZFueqvFpYgSXwnd0hjIW8sjtdu/TiE3cg=,EQBiGgIrUX6G5ktzYaC9dGXMcSEV1D0_1cMBFkulrh_u3yWb,1607220500,2024-10-04,rU+DzsuFld+GvoaemLDfgNglixZhqrqIG7lU58xLg4o=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029742115,0.400265591,0.36766852,2024-10-21 20:41:23,0.03
EQCICKcvd8eTG-kui72i-z3OaKn2AGWWbittotkyybCDQBJ7,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,jqH/BLtBu1GTFvo/8PuA9WekUH+W7BSfrWcR/IyAXqA=,EQDAJEVhodHWJdLtq7_z6p7eatlU9QP-C2DT-nj0RhB8dSB7,1607220500,2024-10-04,dDUCXafBjgqYLl9gurbZmReCk6KzzjZwFX40VWx2szg=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029760591,0.400270411,0.367654864,2024-10-21 20:41:23,0.03
EQCPZm1JnqQrdLKJzvcpZBHoPMVMMAPfDrXHB43z3BddRmpF,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,Qf1+FpJvOvBF6WafIPkYDI2qaBE7WKFEgYX5l1USTk8=,EQDIPI6VE07GzATN2dGOUrB9_OYDaWJU9worvqOj3IGRB3I1,1607220500,2024-10-04,YkB4wD8HCd07h7my3Iao9IaCxcogZdehccOQmeP9FP4=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029739466,0.400265088,0.367670666,2024-10-21 20:41:23,0.03
EQD6l358CSls2W4gIcpIrKW4WMP7Lb84CDu-WC6rBFtrxOQr,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,gWm+Tq/mD3HP7TJe5qa/pNqzc7KjunizTyg3b8tMZlM=,EQCu_NWCHQ7S1gy-Su0XhcCjmwN9i32i3mKesLPmtvlSgmaK,1607220500,2024-10-04,e2VKi2Eeuhjn2rSrxz5RO9VvLzftjplfCsM1iI8R2E0=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029744197,0.400266085,0.367666932,2024-10-21 20:41:23,0.03
EQCLDU60H0MNq-tD0YWrVOV-2goGucJl7835dQQVkHHENzUY,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,CzftdSVnxZZKkQHq1ClSEA/zLjHWomMO3X/U2J/SXT0=,EQCgwi3T_aKINgoBL7t0oSyQ8z5ZVW9asdLYF4x24zEeVqsS,1607220500,2024-10-04,iGuODH1/lUmmSH4eqbAIVZMQ4jJGYBrwAuqAFXVinpY=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029735725,0.700264087,0.667673406,2024-10-21 20:41:23,0.03
EQD7WvcoaFpI5TA_oeOlJKXjQL_r9AQV00OSJOzDOpYXSh4C,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,nouQSoPuSTLRkBJipsstE6n1sxut4Us6bC0vlMQtpWc=,EQBf8qNQQHp1cVhsEdCDEr_yXfiuSR6VYLE15sS6t88G9W_K,1607220500,2024-10-04,OMuFFLXzC6ohdSPCZG69e8li9C02aj1Vnqo/5rY8Ph0=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.029770388,0.400273383,0.367648039,2024-10-21 20:41:23,0.03
EQDy_2NWl_1pULvrnxzMbFsUf1idurMB7gu53AvY4ZszsWbD,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81,4.0,4.0,3,3,4.0,3.0,193,210,2024-03-25,O06YDSBKHD9qNV3LpcD4ROdG9mPiJ7KV06jfKzbrIWE=,EQBoCQecARcoYWLfKEl75R5HebsM0glrsc2nRQTd6gKmu0Bh,1607220500,2024-10-04,OG1ykehqDwkH3/9bWcyHzhHx8y4rlrM2MdUJOWEEqek=,EQAGSo-i5Khoula3j7Le3lkLPB6_-x2j3ZRKa4KoDWvZ1Ajw,0,0.02974109,0.400265679,0.367669633,2024-10-21 20:41:23,0.03
