from_addr,knn_id,cluster_size
EQC9mq68HGmG0ercVweYrPY9dXqLsFPFjB9kxExUUHMhgCTT,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCtfShIHBgXNcBQiwGzTX32KB-KdBrEjapCLt81sKojEHyd,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCwWOpYletdT1X4e6Hmbq_vVvhFR45OuWl5ZNQx0bghrB74,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD-fwyho0NRDSNFIiGbDK9atTUyslQjAaiRH7qEIPAfke25,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDf7_4uVtV75qVc-Q6SXiZ0pHQgzHb1dvkLLaoE8dbYA0aV,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCXgpO_8ePyzCdf5_BAqgsMVtiK9DMZrHA1TTaW7Gxv2hZg,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDPxnlQ9qHbkpoC34pz5zPb7fVIIsXDdrusB5mbztF7rUge,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDj7ran4XtVjN9wl5SFCYgjk3WvJ-2RpqwtDUiMEXaiPdfV,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD2ljmlWh66LAL_ecnOMMdoVwHGcjUXbr8RLfSJtm9zFw3k,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCICKcvd8eTG-kui72i-z3OaKn2AGWWbittotkyybCDQBJ7,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCPZm1JnqQrdLKJzvcpZBHoPMVMMAPfDrXHB43z3BddRmpF,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD6l358CSls2W4gIcpIrKW4WMP7Lb84CDu-WC6rBFtrxOQr,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQCLDU60H0MNq-tD0YWrVOV-2goGucJl7835dQQVkHHENzUY,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQD7WvcoaFpI5TA_oeOlJKXjQL_r9AQV00OSJOzDOpYXSh4C,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDy_2NWl_1pULvrnxzMbFsUf1idurMB7gu53AvY4ZszsWbD,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDqikQsdj5bks_x4Dy2aD4NSPrCfnuL0Jk2nwQTg5jHGxJp,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
EQDaSfA7v4AxVF1wpI1lqr6WzYOG03TxokiX2wrDuBgqIqG2,1_last_4.0_4.0_3_3_4.0_3.0_193_210_81,81
